target,source,value,source (FR),target (FR),color
HEAT_LOW_T,ALKALINE_ELECTROLYSIS,4269.743101583636,Électrolyse alcaline,Chaleur (basse température),#B51F1F
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,668.3971859851714,Conversion du bioéthanol en carburant aviation,Biocarburant d'aviation,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,1172.3686642179905,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
DIESEL,CO2_TO_DIESEL,5220.789645673722,Conversion du CO2 en diesel,Diesel,#D3D3D3
GASOLINE,CO2_TO_DIESEL,2025.6663825214043,Conversion du CO2 en diesel,Essence,#808080
BIO_JETFUEL,CROPS_TO_JETFUELS,1895.3999414005273,Conversion des cultures en carburant aviation,Biocarburant d'aviation,#000000
HEAT_LOW_T,DIRECT_ELEC,30890.164732895035,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,19148.356773171872,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DEC_SOLAR,119.7766384416887,Solaire thermique décentralisé,Chaleur (basse température),#B51F1F
HEAT_HIGH_T,GASIFICATION_H2,76.29893534376777,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,2235.2602036366206,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,1265.1704394983633,Importations de bio-éthanol,Bioéthanol,#000000
METHANOL,IMP_METHANOL,2599.775417739592,Importations de méthanol,Méthanol,#A5DA00
PROPANE,IMP_PROPANE,929.0891541227993,Importations de propane,Propane,#000000
HEAT_HIGH_T,BOILER,2676.0655743915468,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,52642.419693901305,Chaudière,Chaleur (haute température),#B51F1F
NEW_HYDRO_DAM,RES_HYDRO,2659.0583320599776,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
DEC_SOLAR,RES_SOLAR,119.7766384416887,Potentiel solaire photovoltaïque,Solaire thermique décentralisé,#000000
BOILER,WASTE,3234.0,Déchets organiques et papier,Chaudière,#FA8072
CROPS_TO_JETFUELS,WET_BIOMASS,6468.999999999999,Déchets de biomasse humide,Conversion des cultures en carburant aviation,#b37b44
BOILER,WOOD,60332.68260123847,Bois résiduel,Chaudière,#CD853F
GASIFICATION_H2,WOOD,431.830779897019,Bois résiduel,Production d'hydrogène par gazéification du bois,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,35556.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,6379.803463423301,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,22107.662200687602,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,53159.524,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,10088.047999999999,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,42021.3156,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,2970.86,Demande en froid (climatisation),Services,#B51F1F
AGRICULTURE,EUD_LIGHTING,82.84,Demande en électricité pour l'éclairage,Agriculture,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,4094.419,Demande en électricité pour l'éclairage,Industrie,#00BFFF
SERVICES,EUD_LIGHTING,12036.27,Demande en électricité pour l'éclairage,Services,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,52093.594,Demande en chaleur haute température,Industrie,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1065.93,Demande en chaleur haute température,Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,121.73,Demande en chaleur basse température (eau chaude),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,6657.96,Demande en chaleur basse température (eau chaude),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_HW,433.608,Demande en chaleur basse température (eau chaude),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_HW,2874.75,Demande en chaleur basse température (eau chaude),Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_SH,1095.58,Demande en chaleur basse température (chauffage),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,17903.3316,Demande en chaleur basse température (chauffage),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_SH,2267.384,Demande en chaleur basse température (chauffage),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SH,20755.02,Demande en chaleur basse température (chauffage),Services,#B51F1F
MOBILITY_PASSENGER,BUS,2166.0890733573574,Autobus,Mobilité des personnes,#000000
MOBILITY_PASSENGER,CAR,5266.123825018138,Voiture,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COACH,11.451595313694122,Autocar,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COMMUTER,656.1352780006048,Train de banlieue,Mobilité des personnes,#000000
MOBILITY_FREIGHT,LCV,4740.971980852985,Véhicule utilitaire léger,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,PLANE,214.16480829450447,Avion,Mobilité des marchandises,#000000
MOBILITY_PASSENGER,PLANE,2349.6323190911944,Avion,Mobilité des personnes,#000000
MOBILITY_PASSENGER,SCHOOLBUS,870.0166432535025,Autobus scolaire,Mobilité des personnes,#000000
MOBILITY_FREIGHT,SEMI,9137.258900851859,Semi-remorque,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,SHIP,2599.7754177395914,Navire,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,TRAIN,925.3190979610094,Train,Mobilité des marchandises,#000000
MOBILITY_PASSENGER,TRAIN,4413.685105186074,Train,Mobilité des personnes,#000000
BUS,GASOLINE,1236.9999192345795,Essence,Autobus,#808080
BUS,PROPANE,929.089154122778,Propane,Autobus,#000000
COACH,GASOLINE,11.451595313694122,Essence,Autocar,#808080
PLANE,BIO_JETFUEL,2563.797127385699,Biocarburant d'aviation,Avion,#000000
SCHOOLBUS,BIO_ETHANOL,92.80177528037359,Bioéthanol,Autobus scolaire,#000000
SCHOOLBUS,GASOLINE,777.2148679731289,Essence,Autobus scolaire,#808080
SEMI,DIESEL,5220.789645673742,Diesel,Semi-remorque,#D3D3D3
SHIP,METHANOL,2599.7754177395914,Méthanol,Navire,#A5DA00
ALKALINE_ELECTROLYSIS,ELECTRICITY,27173.360175715196,Électricité,Électrolyse alcaline,#00BFFF
CARBON_CAPTURE,ELECTRICITY,303.43751499620237,Électricité,Captage de CO2 en postcombustion,#00BFFF
DIRECT_ELEC,ELECTRICITY,30890.164732895035,Électricité,Électricité directe,#00BFFF
HP,ELECTRICITY,7659.34270926875,Électricité,Thermopompe,#00BFFF
GASIFICATION_H2,ELECTRICITY,24.63819787142501,Électricité,Production d'hydrogène par gazéification du bois,#00BFFF
ELECTRICITY,HYDRO_DAM,127918.533528,Barrages hydroélectriques existants,Électricité,#00BFFF
ELECTRICITY,HYDRO_RIVER,73573.19568,Hydroélectricité au fil de l'eau existante,Électricité,#00BFFF
ELECTRICITY,IMP_ELECTRICITY_EHV,33889.00000000003,Importations d'électricité,Électricité,#00BFFF
ELECTRICITY,NEW_HYDRO_DAM,2659.0583320599776,Nouveaux barrages hydroélectriques,Électricité,#00BFFF
EUD_ELECTRICITY_EHV,ELECTRICITY,4962.782999999999,Électricité,Demande en électricité très haute tension,#00BFFF
EUD_ELECTRICITY_HV,ELECTRICITY,51097.354,Électricité,Demande en électricité haute tension,#00BFFF
EUD_ELECTRICITY_LV,ELECTRICITY,19351.75,Électricité,Demande en électricité basse tension,#00BFFF
EUD_ELECTRICITY_MV,ELECTRICITY,13597.381,Électricité,Demande en électricité moyenne tension,#00BFFF
INDUSTRY,EUD_ELECTRICITY_EHV,4962.782999999999,Demande en électricité très haute tension,Industrie,#00BFFF
INDUSTRY,EUD_ELECTRICITY_HV,51097.354,Demande en électricité haute tension,Industrie,#00BFFF
HOUSEHOLDS,EUD_ELECTRICITY_LV,8117.96,Demande en électricité basse tension,Résidentiel,#00BFFF
SERVICES,EUD_ELECTRICITY_LV,11233.79,Demande en électricité basse tension,Services,#00BFFF
AGRICULTURE,EUD_ELECTRICITY_MV,1988.27,Demande en électricité moyenne tension,Agriculture,#00BFFF
INDUSTRY,EUD_ELECTRICITY_MV,8085.721,Demande en électricité moyenne tension,Industrie,#00BFFF
SERVICES,EUD_ELECTRICITY_MV,3523.39,Demande en électricité moyenne tension,Services,#00BFFF
CAR,ELECTRICITY,5266.123825018138,Électricité,Voiture,#00BFFF
COMMUTER,ELECTRICITY,656.1352780006048,Électricité,Train de banlieue,#00BFFF
TRAIN,ELECTRICITY,5339.004203147084,Électricité,Train,#00BFFF
H2,ALKALINE_ELECTROLYSIS,16422.088852244753,Électrolyse alcaline,H2,#FF00FF
H2,GASIFICATION_H2,264.926858832527,Production d'hydrogène par gazéification du bois,H2,#FF00FF
H2_STO,H2,1193.4137583074414,H2,Hydrogène vers stockage,#FF00FF
CO2_TO_DIESEL,H2,8029.5744750461845,H2,Conversion du CO2 en diesel,#545454
STO_H2,H2_S,1193.4137583074416,H2_S,Stockage vers hydrogène,#FF00FF
H2_S,H2_STO,1193.4137583074414,Hydrogène vers stockage,H2_S,#FF00FF
H2,STO_H2,1193.4137583074416,Stockage vers hydrogène,H2,#FF00FF
LCV,H2,4740.971980852985,H2,Véhicule utilitaire léger,#FF00FF
SEMI,H2,3916.4692551781163,H2,Semi-remorque,#FF00FF
