target,source,value,source (FR),target (FR),color
HEAT_LOW_T,AFC,3.6863634816277013,Pile à combustible alcaline,Chaleur (basse température),#B51F1F
HEAT_LOW_T,ALKALINE_ELECTROLYSIS,2005.1172546073217,Électrolyse alcaline,Chaleur (basse température),#B51F1F
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,8956.870755969065,Conversion du bioéthanol en carburant aviation,Biocarburant d'aviation,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,15710.35130596974,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
DIESEL,CO2_TO_DIESEL,1674.577391349314,Conversion du CO2 en diesel,Diesel,#D3D3D3
GASOLINE,CO2_TO_DIESEL,649.7360278435339,Conversion du CO2 en diesel,Essence,#808080
BIO_JETFUEL,CO2_TO_JETFUELS,1895.399941400528,Conversion du CO2 en carburant aviation,Biocarburant d'aviation,#545454
HEAT_LOW_T,BOILER,198.56613412215543,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DIRECT_ELEC,56334.55668608172,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,4478.1219797097765,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DEC_SOLAR,79.71318175913554,Solaire thermique décentralisé,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,4.6777219384809984e-05,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,50.69942009910114,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,0.9445467260318319,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,FT,563.0460756845373,Production de biodiesel par synthèse Fischer-Tropsch,Chaleur (basse température),#B51F1F
BIO_DIESEL,FT,1425.4331029988286,Production de biodiesel par synthèse Fischer-Tropsch,Biodiesel,#6B8E23
HEAT_HIGH_T,GASIFICATION_H2,319.22430796370963,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,GASIFICATION_SNG,1.6213866805813947e-05,Production de gaz naturel synthétique par gazéification du bois,Chaleur (haute température),#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,15613.545027925853,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
LT_DHN_WH,HEAT_LOW_T,241.69463208764455,Chaleur (basse température),Chaleur perdue basse température du réseau de chaleur urbain,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,15710.351305969736,Importations de bio-éthanol,Bioéthanol,#000000
JETFUEL,IMP_JETFUEL,1988.0000000000005,Importations de carburant aviation,Carburant aviation,#000000
METHANOL,IMP_METHANOL,1584.0101286516776,Importations de méthanol,Méthanol,#A5DA00
HEAT_HIGH_T,BOILER,1929.6799379966258,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,54606.36976566497,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,11917.795000086686,Électricité directe,Chaleur (haute température),#B51F1F
HEAT_WASTE,LT_DHN_WH,241.69463208764455,Chaleur perdue basse température du réseau de chaleur urbain,Chaleur résiduelle,#B51F1F
NEW_HYDRO_DAM,RES_HYDRO,3281.9829716894174,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
DEC_SOLAR,RES_SOLAR,79.71318175913554,Potentiel solaire photovoltaïque,Solaire thermique décentralisé,#000000
BOILER,WASTE,2332.0,Déchets organiques et papier,Chaudière,#FA8072
CO2_TO_JETFUELS,WET_BIOMASS,6469.000000000001,Déchets de biomasse humide,Conversion du CO2 en carburant aviation,#545454
BOILER,WOOD,58.25650346523697,Bois résiduel,Chaudière,#CD853F
BOILER,WOOD,232.09758505436108,Bois résiduel,Chaudière,#CD853F
FT,WOOD,2678.388800534799,Bois résiduel,Production de biodiesel par synthèse Fischer-Tropsch,#CD853F
GASIFICATION_H2,WOOD,1806.7209096557176,Bois résiduel,Production d'hydrogène par gazéification du bois,#CD853F
GASIFICATION_SNG,WOOD,6.760782115634148e-05,Bois résiduel,Production de gaz naturel synthétique par gazéification du bois,#CD853F
BOILER,WOOD,62583.53613368208,Bois résiduel,Chaudière,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,17778.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,6379.803463423301,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,22149.0822006876,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,53159.524,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,10148.913,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,51792.034,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,2970.86,Demande en froid (climatisation),Services,#B51F1F
AGRICULTURE,EUD_LIGHTING,124.26,Demande en électricité pour l'éclairage,Agriculture,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,4094.419,Demande en électricité pour l'éclairage,Industrie,#00BFFF
SERVICES,EUD_LIGHTING,12036.27,Demande en électricité pour l'éclairage,Services,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,52093.594,Demande en chaleur haute température,Industrie,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1065.93,Demande en chaleur haute température,Services,#B51F1F
