target,source,value,source (FR),target (FR),color
HEAT_LOW_T,AFC,5.413154779256077,Pile à combustible alcaline,Chaleur (basse température),#B51F1F
HEAT_LOW_T,ALKALINE_ELECTROLYSIS,382.18343974994207,Électrolyse alcaline,Chaleur (basse température),#B51F1F
GASOLINE,CO2_TO_DIESEL,2025.6663825214127,Conversion du CO2 en diesel,Essence,#808080
DIESEL,CO2_TO_DIESEL,5220.7896456737435,Conversion du CO2 en diesel,Diesel,#D3D3D3
BIO_JETFUEL,CROPS_TO_JETFUELS,1895.399941400529,Conversion des cultures en carburant aviation,Biocarburant d'aviation,#000000
HEAT_LOW_T,BOILER,10.699908516547445,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,8060.877432096648,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DIRECT_ELEC,46119.58885662549,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DEC_SOLAR,14.262130296988811,Solaire thermique décentralisé,Chaleur (basse température),#B51F1F
ELEC_EXPORT_EHV,ELECTRICITY,6567.436990492757,Électricité,Export d'électricité,#00BFFF
CARBON_CAPTURE,HEAT_HIGH_T,2235.2602036366306,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
SMR,HEAT_HIGH_T,5793.827222450449,Chaleur (haute température),Reformage vapeur du méthane,#B51F1F
JETFUEL,IMP_JETFUEL,349.92635041928526,Importations de carburant aviation,Carburant aviation,#000000
HEAT_HIGH_T,BOILER,1929.6799379966253,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,43414.759029058645,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,960.2884590318149,Électricité directe,Chaleur (haute température),#B51F1F
METHANOL,METHANE_TO_METHANOL,3639.6855848354303,Conversion du méthane en méthanol,Méthanol,#A5DA00
NEW_HYDRO_DAM,RES_HYDRO,2623.513925916844,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
HYDRO_DAM,RES_HYDRO,127917.99999999988,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
DEC_SOLAR,RES_SOLAR,14.262130296988811,Potentiel solaire photovoltaïque,Solaire thermique décentralisé,#000000
BOILER,WASTE,2331.9999999999995,Déchets organiques et papier,Chaudière,#FA8072
CROPS_TO_JETFUELS,WET_BIOMASS,6469.0000000000055,Déchets de biomasse humide,Conversion des cultures en carburant aviation,#b37b44
BOILER,WOOD,49757.0,Bois résiduel,Chaudière,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,20000.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,4894.373463423301,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,14903.125200687602,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,38275.64,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,12757.858,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,41619.354,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,1485.43,Demande en froid (climatisation),Services,#B51F1F
AGRICULTURE,EUD_LIGHTING,66.272,Demande en électricité pour l'éclairage,Agriculture,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,2924.585,Demande en électricité pour l'éclairage,Industrie,#00BFFF
SERVICES,EUD_LIGHTING,6018.135,Demande en électricité pour l'éclairage,Services,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,37209.71,Demande en chaleur haute température,Industrie,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1065.93,Demande en chaleur haute température,Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,97.38400000000001,Demande en chaleur basse température (eau chaude),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,9321.144,Demande en chaleur basse température (eau chaude),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_HW,464.58000000000004,Demande en chaleur basse température (eau chaude),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_HW,2874.75,Demande en chaleur basse température (eau chaude),Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_SH,876.4639999999999,Demande en chaleur basse température (chauffage),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,27126.26,Demande en chaleur basse température (chauffage),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_SH,3239.12,Demande en chaleur basse température (chauffage),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SH,10377.51,Demande en chaleur basse température (chauffage),Services,#B51F1F
MOBILITY_PASSENGER,BUS,282.2202546047045,Autobus,Mobilité des personnes,#000000
MOBILITY_PASSENGER,CAR,10025.45785482954,Voiture,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COACH,1904.504750103303,Autocar,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COMMUTER,94.9056866831441,Train de banlieue,Mobilité des personnes,#000000
MOBILITY_FREIGHT,LCV,3073.7075621826793,Véhicule utilitaire léger,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,PLANE,299.83073161230055,Avion,Mobilité des marchandises,#000000
MOBILITY_PASSENGER,PLANE,1945.4955602075138,Avion,Mobilité des personnes,#000000
MOBILITY_PASSENGER,SCHOOLBUS,121.16163241809627,Autobus scolaire,Mobilité des personnes,#000000
MOBILITY_FREIGHT,SEMI,13341.025852177616,Semi-remorque,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,SHIP,3639.68558483543,Navire,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,TRAIN,1233.7507365725046,Train,Mobilité des marchandises,#000000
MOBILITY_PASSENGER,TRAIN,2677.4536598364107,Train,Mobilité des personnes,#000000
COACH,GASOLINE,1904.504750103303,Essence,Autocar,#808080
PLANE,BIO_JETFUEL,1895.3999414005289,Biocarburant d'aviation,Avion,#000000
PLANE,JETFUEL,349.92635041928537,Carburant aviation,Avion,#000000
SCHOOLBUS,GASOLINE,121.16163241809627,Essence,Autobus scolaire,#808080
SEMI,DIESEL,5220.7896456737435,Diesel,Semi-remorque,#D3D3D3
SHIP,METHANOL,3639.68558483543,Méthanol,Navire,#A5DA00
ELECTRICITY,AFC,15.779346181531468,Pile à combustible alcaline,Électricité,#00BFFF
ALKALINE_ELECTROLYSIS,ELECTRICITY,2432.2794169202075,Électricité,Électrolyse alcaline,#00BFFF
CARBON_CAPTURE,ELECTRICITY,303.4375149962037,Électricité,Captage de CO2 en postcombustion,#00BFFF
DIRECT_ELEC,ELECTRICITY,960.2884590318149,Électricité,Électricité directe,#00BFFF
DIRECT_ELEC,ELECTRICITY,46119.58885662549,Électricité,Électricité directe,#00BFFF
ELECTRICITY,HYDRO_DAM,127917.99999999988,Barrages hydroélectriques existants,Électricité,#00BFFF
ELECTRICITY,HYDRO_RIVER,73573.19568,Hydroélectricité au fil de l'eau existante,Électricité,#00BFFF
ELECTRICITY,IMP_ELECTRICITY_EHV,33889.00000000001,Importations d'électricité,Électricité,#00BFFF
ELECTRICITY,NEW_HYDRO_DAM,2623.513925916844,Nouveaux barrages hydroélectriques,Électricité,#00BFFF
EUD_ELECTRICITY_EHV,ELECTRICITY,7090.0,Électricité,Demande en électricité très haute tension,#00BFFF
EUD_ELECTRICITY_HV,ELECTRICITY,72996.22,Électricité,Demande en électricité haute tension,#00BFFF
EUD_ELECTRICITY_LV,ELECTRICITY,16982.039,Électricité,Demande en électricité basse tension,#00BFFF
EUD_ELECTRICITY_MV,ELECTRICITY,23145.229000000003,Électricité,Demande en électricité moyenne tension,#00BFFF
INDUSTRY,EUD_ELECTRICITY_EHV,7090.0,Demande en électricité très haute tension,Industrie,#00BFFF
INDUSTRY,EUD_ELECTRICITY_HV,72996.22,Demande en électricité haute tension,Industrie,#00BFFF
HOUSEHOLDS,EUD_ELECTRICITY_LV,11365.144,Demande en électricité basse tension,Résidentiel,#00BFFF
SERVICES,EUD_ELECTRICITY_LV,5616.895,Demande en électricité basse tension,Services,#00BFFF
AGRICULTURE,EUD_ELECTRICITY_MV,1590.616,Demande en électricité moyenne tension,Agriculture,#00BFFF
INDUSTRY,EUD_ELECTRICITY_MV,17326.545000000002,Demande en électricité moyenne tension,Industrie,#00BFFF
SERVICES,EUD_ELECTRICITY_MV,4228.067999999999,Demande en électricité moyenne tension,Services,#00BFFF
CAR,ELECTRICITY,10025.45785482954,Électricité,Voiture,#00BFFF
COMMUTER,ELECTRICITY,94.9056866831441,Électricité,Train de banlieue,#00BFFF
TRAIN,ELECTRICITY,3911.2043964089153,Électricité,Train,#00BFFF
